ababa	a- ba- ba
itanashyirwa	i- ta- na- shyira -w
itanatanga	i- ta- na- tanga
itandika	i- ta- andika
itanditse	i- ta- anditse
itandukana	i- tandukana
itandukanira	i- tandukana -ir
itandukaniye	i- tandukana -iye
itandukanya	i- tandukanya
itandukanye	i- tandukanye
itandukanyije	i- tandukanya -ije
itandukanywa	i- tandukanya -w
itandukanywe	i- tandukanya -w -e
itandukunye	i- ta- n- tu- kuna -ye
itandura	i- ta- n- rura
itandurira	i- ta- n- rura -ir
itanduza	i- ta- n- tu- za
itanenga	i- ta- n- enga
itanga	itanga
itangabanyijwe	i- ta- n- gabanya -ije -w
itangaburirwa	i- ta- n- gaburirwa
itangaho	itanga -ho
itangaje	i- tangaje
itangamo	itanga -mo
itangana	itanga -an
itanganya	i- ta- nganya
itangarije	i- tangara -ije
itangaza	i- tangaza
itangaze	i- tangaza -e
itangazwa	i- tangaza -w
itangazwe	i- tangaza -w -e
itange	itanga -e
itangenze	i- ta- n- genze
itangije	i- tangije
itangijwe	itanga -ije -w
itangira	i- tangira
itangirana	i- tangira -an
itangiranye	i- tangira -an -ye
itangire	i- tangira -e
itangirika	i- ta- angirika
itangirira	i- tangira -ir
itangiritse	i- ta- angiritse
itangiriye	i- tangira -iye
itangiriyeho	i- tangira -iye -ho
itangirwa	i- tangira -w
itangirwamo	i- tangira -w -mo
itangiwe	itanga -iye -w
itangiye	i- tangiye
itangiza	i- tangiza
itangizwa	i- tangiza -w
itangizwe	i- tangiza -w -e
itangwa	itanga -w
itangwaho	itanga -w -ho
itangwamo	itanga -w -mo
itangwe	itanga -w -e
itanira	i- tana -ir
itaniye	i- tana -iye
itanoze	i- ta- noza -e
itanuka	i- ta- nuka
itanumva	i- ta- n- umva
itanyanyagira	i- ta- n- ya- nyagira
itanyowe	i- ta- nyowe
itanyura	i- ta- nyura
itanyuragamo	i- ta- nyura -aga -mo
itanyurwa	i- ta- nyura -w
itanyuze	i- ta- nyuze
itanze	itanze
itanzwe	i- ta- anzwe
itapfa	i- ta- pfa
itaraba	i- ta- raba
itarababereye	i- ta- ra- ba- bereye
itarabageraho	i- ta- ra- ba- gera -ho
itarabagereragaho	i- ta- ra- ba- gera -ir -aga -ho
itarabaho	i- ta- raba -ho
itarabamenyesha	i- ta- ra- ba- menya -ish
itarabanje	i- ta- ra- ba- n- je
itarabarebaga	i- ta- ra- ba- reba -aga
itarabarushaga	i- ta- ra- ba- rusha -aga
itarabasha	i- ta- ra- basha
itarabashije	i- ta- ra- bashije
itarabatunguye	i- ta- ra- ba- tunguye
itarabaye	i- ta- ra- baye
itarabayeho	i- ta- ra- baye -ho
itarabereye	i- ta- ra- bereye
itarabigeza	i- ta- ra- bi- geza
itarabikozwaga	i- ta- ra- bi- koza -w -aga
itarabimenya	i- ta- ra- bi- menya
itarabimenyeshwa	i- ta- ra- bi- menya -ish -w
itarabishoboye	i- ta- ra- bi- shoboye
itarabishyura	i- ta- ra- ba- ishyura
itarabona	i- ta- ra- bona
itaraboneka	i- ta- ra- boneka
itarabonerwa	i- ta- ra- bonera -w
itarabonetse	i- ta- ra- bonetse
itarabonwaga	i- ta- ra- bonwa -aga
itarabonye	i- ta- ra- bonye
itarabora	i- ta- ra- bora
itarabyemera	i- ta- ra- bi- emera
itaracika	i- ta- ra- cika
itaracitse	i- ta- ra- citse
itaracurangwa	i- ta- ra- curanga -w
itaraduhaye	i- ta- ra- tu- haye
itarafata	i- ta- ra- fata
itarafatiriwe	i- ta- ra- fata -ir -iye -w
itaragabanya	i- ta- ra- gabanya
itaragabirwa	i- ta- ra- ka- bira -w
itaragaragara	i- ta- ra- garagara
itaragaragaye	i- ta- ra- garagaye
itaragaragaza	i- ta- ra- garagaza
itaragaragazwa	i- ta- ra- garagaza -w
itaragendaga	i- ta- ra- genda -aga
itaragenze	i- ta- ra- genze
itaragera	i- ta- ra- gera
itarageraho	i- ta- ra- gera -ho
itarageramo	i- ta- ra- gera -mo
itarageza	i- ta- ra- geza
itaragezeyo	i- ta- ra- geze -yo
itaragezwa	i- ta- ra- geza -w
itaragezweho	i- ta- ra- geza -w -e -ho
itaragira	i- ta- ragira
itaragiraga	i- ta- ragira -aga
itaragirwa	i- ta- ragira -w
itaragiye	i- ta- ragiye
itaragize	i- ta- ra- gize
itaragwa	i- ta- ragwa
itaragwiriye	i- ta- ra- gwiriye
itarahabaga	i- ta- ra- haba -aga
itarahabwa	i- ta- ra- habwa
itarahabwaga	i- ta- ra- habwa -aga
itarahagera	i- ta- ra- ha- gera
itarahaguruka	i- ta- ra- haguruka
itarahawe	i- ta- ra- hawe
itarahaye	i- ta- ra- haye
itarahaza	i- ta- ra- haza
itarahemba	i- ta- ra- hemba
itarahinduka	i- ta- ra- hinduka
itarahindura	i- ta- ra- hindura
itarahuye	i- ta- ra- huye
itarahwemye	i- ta- ra- hwemye
itaraje	i- ta- ra- je
itarajya	i- ta- ra- jya
itarajyaga	i- ta- ra- jya -aga
itarajyaho	i- ta- ra- jya -ho
itarajyanwa	i- ta- ra- jyana -w
itarakina	i- ta- ra- kina
itarakinwa	i- ta- ra- kina -w
itarakinwe	i- ta- ra- kina -w -e
itarakira	i- ta- ra- kira
itarakomera	i- ta- ra- komera
itarakoreshejwe	i- ta- ra- koresha -ije -w
itarakoreshwa	i- ta- ra- koreshwa
itarakoreshwaga	i- ta- ra- koreshwa -aga
itarakoze	i- ta- ra- koze
itarakozwe	i- ta- ra- kozwe
itarakundaga	i- ta- ra- kunda -aga
itarakunze	i- ta- ra- kunze
itarakura	i- ta- ra- kura
itarakuze	i- ta- ra- kuze
itarakwira	i- ta- ra- kwira
itaramamara	i- ta- ra- amamara
itaramara	i- ta- ra- mara
itarambere	i- ta- ramba -ir -e
itarambiranye	i- ta- ra- n- bira -an -ye
itarambirije	i- ta- ramba -ir -ije
itaramenya	i- ta- ra- menya
itaramenyakana	i- ta- ra- menyakana
itaramenyera	i- ta- ra- menyera
itaramenyerana	i- ta- ra- menyera -an
itaramenyerwa	i- ta- ra- menyera -w
itaramugeraho	i- ta- ra- mu- gera -ho
itaramugezwaho	i- ta- ra- mu- geza -w -ho
itaramugura	i- ta- ra- mu- gura
itaramugwaho	i- ta- ra- mu- gwa -ho
itaramuhindura	i- ta- ra- mu- hindura
itaramuhiriye	i- ta- ra- mu- ha -ir -iye
itaramurenga	i- ta- ra- mu- renga
itaramutaye	i- ta- ra- mu- taye
itaranagira	i- ta- ra- na- gira
itaranahagera	i- ta- ra- na- ha- gera
itaranakinnye	i- ta- ra- na- ki- nnya -e
itaranarangira	i- ta- ra- na- rangira
itarangije	i- ta- rangije
itarangira	i- ta- rangira
itarangirika	i- ta- ra- angirika
itarangiritse	i- ta- ra- angiritse
itarangiye	i- ta- rangiye
itarangiza	i- ta- rangiza
itarangwa	i- ta- ranga -w
itarangwamo	i- ta- ranga -w -mo
itaranoga	i- ta- ra- n- oga
itaranozwa	i- ta- ra- noza -w
itararangira	i- ta- ra- rangira
itararangire	i- ta- ra- rangira -e
itararangiye	i- ta- ra- rangiye
itararangiza	i- ta- ra- rangiza
itararenga	i- ta- ra- renga
itararenze	i- ta- ra- renze
itarariwe	i- ta- ra- riwe
itararokotsemo	i- ta- ra- rokotse -mo
itararwanyijweho	i- ta- ra- rwanya -ije -w -ho
itarasabaga	i- ta- ra- saba -aga
itarasakara	i- ta- ra- sakara
itarasanwa	i- ta- rasa -an -w
itarasarurwa	i- ta- ra- sarura -w
itarasezera	i- ta- ra- sezera
itarasezeranye	i- ta- ra- sezeranye
itarashakiwe	i- ta- ra- shaka -iye -w
itarashatse	i- ta- ra- shatse
itarashimishije	i- ta- ra- shima -ish -ije
itarashimwe	i- ta- ra- shimwa -e
itarashingwa	i- ta- ra- shinga -w
itarashiraho	i- ta- ra- shira -ho
itarashobora	i- ta- ra- shobora
itarashoboye	i- ta- ra- shoboye
itarashyingurwa	i- ta- ra- shyingura -w
itarashyira	i- ta- ra- shyira
itarashyiraho	i- ta- ra- shyira -ho
itarashyiriwe	i- ta- ra- shyira -iye -w
itarashyirwa	i- ta- ra- shyira -w
itarashyize	i- ta- ra- shyize
itarasiba	i- ta- ra- siba
itarasohoka	i- ta- ra- sohoka
itarasubiza	i- ta- ra- subiza
itarataha	i- ta- ra- taha
itaratahwa	i- ta- ra- taha -w
itaratandukanye	i- ta- ra- tandukanye
itaratanga	i- ta- ra- tanga
itaratangaza	i- ta- ra- tangaza
itaratangazwa	i- ta- ra- tangaza -w
itaratangira	i- ta- ra- tangira
itaratangiza	i- ta- ra- tangiza
itaratangizwa	i- ta- ra- tangiza -w
itaratangwa	i- ta- ra- tanga -w
itaratanze	i- ta- ra- tanze
itarategurwa	i- ta- ra- tegura -w
itaratera	i- ta- ra- tera
itaraterana	i- ta- ra- terana
itarateye	i- ta- ra- teye
itaratinze	i- ta- ra- tinze
itaratoranywa	i- ta- ra- toranya -w
itaratsinda	i- ta- ra- tsinda
itaratsindirwaho	i- ta- ra- tsinda -ir -w -ho
itaratsindwa	i- ta- ra- tsindwa
itaratugeraho	i- ta- ra- tu- gera -ho
itaratungana	i- ta- ra- tungana
itaratunganywa	i- ta- ra- tunganya -w
itaratwara	i- ta- ra- twara
itaratwivugana	i- ta- ra- tu- i- vugana
itarava	i- ta- ra- va
itaravanwamo	i- ta- ra- vana -w -mo
itaravugaga	i- ta- ra- vuga -aga
itaravugururwa	i- ta- ra- vugurura -w
itaravugwa	i- ta- ra- vuga -w
itaravuka	i- ta- ra- vuka
itaravuzweho	i- ta- ra- vuza -w -e -ho
itarawukina	i- ta- ra- wu- kina
itarayakiriye	i- ta- ra- y- akiriye
itaraza	i- ta- ra- za
itarazamuka	i- ta- ra- zamuka
itarazimiye	i- ta- ra- zimiye
itareba	i- ta- reba
itarebwa	i- ta- reba -w
itarebye	i- ta- rebye
itarekurwa	i- ta- rekura -w
itarembere	i- ta- remba -ir -e
itaremejwe	i- ta- rema -ije -w
itaremera	i- ta- remera
itaremeraga	i- ta- remera -aga
itaremererwa	i- ta- remera -ir -w
itaremerwa	i- ta- remerwa
itaremeye	i- ta- ra- emeye
itarenga	i- ta- renga
itarengeraga	i- ta- rengera -aga
itarenze	i- ta- renze
itarera	i- ta- rera
itarerekeza	i- ta- ra- erekeza
itareze	i- ta- reze
itari	i- ta- ri
itaribasiye	i- ta- ri- ba- sa -iye
itaribukine	i- ta- ri- bu- kina -e
itaribwe	i- ta- ribwa -e
itarifite	i- ta- ri- fite
itarigabizwa	i- ta- ri- gabiza -w
itariganya	i- ta- riganya
itarigaragaza	i- ta- ri- garagaza
itarigeze	i- ta- ra- igeze
itarigiswa	i- ta- ri- ki- sa -w
itariha	i- ta- ri- ha
itarihiraga	i- ta- ri- ha -ir -aga
itariho	i- ta- ri -ho
itarihuse	i- ta- ra- ihuse
itariko	i- ta- ri -ko
itarimbura	i- ta- rimbura
itarimo	i- ta- ri -mo
itarinjira	i- ta- ra- injira
itarishyura	i- ta- ra- ishyura
itarishyurwa	i- ta- ra- ishyura -w
itarishyuye	i- ta- ra- ishyuye
itaritabiriye	i- ta- ra- itaba -ir -iye
itaritabirwa	i- ta- ra- itaba -ir -w
itaritaga	i- ta- ra- ita -aga
itariteguye	i- ta- ri- teguye
itaritwaye	i- ta- ri- twaye
itariyo	i- ta- ri -yo
itariyongera	i- ta- ra- i- ongera
itarizihije	i- ta- ra- izihije
itarobanura	i- ta- robanura
itarubahirije	i- ta- ra- ubaha -ir -ije
itarubaka	i- ta- ra- ubaka
itarubatse	i- ta- ra- ubatse
itaruma	i- ta- ruma
itarumvikana	i- ta- ra- umvikana
itarumvikanye	i- ta- ra- umvikanye
itaruretse	i- ta- ru- retse
itarushijwe	i- ta- rusha -ije -w
itarushya	i- ta- rushya
itarushye	i- ta- rushye
itaruzura	i- ta- ra- uzura
itarwanya	i- ta- rwanya
itarwanyijwe	i- ta- rwanya -ije -w
itarwanyijweho	i- ta- rwanya -ije -w -ho
itarya	i- ta- rya
itaryamirwa	i- ta- ryama -ir -w
itaryoha	i- ta- ryoha
itaryoshye	i- ta- ryoshye
itashakirwa	i- ta- shakira -w
itashimishije	i- ta- shima -ish -ije
itashimishijwe	i- ta- shima -ish -ije -w
itashira	i- ta- shira
itashizeho	i- ta- shize -ho
itashobora	i- ta- shobora
itashoboraga	i- ta- shobora -aga
itashoboye	i- ta- shoboye
itashye	i- tashye
itashyikirijwe	i- ta- shyika -ir -ije -w
itashyira	i- ta- shyira
itashyiraho	i- ta- shyira -ho
itashyirwa	i- ta- shyira -w
itasi	i- ta- si
itasigaye	i- ta- sigaye
itasubiye	i- ta- subiye
itatanga	i- ta- tanga
itatangaga	i- ta- tanga -aga
itatangwaga	i- ta- tanga -w -aga
itatanye	i- ta- tanye
itatanze	i- ta- tanze
itateganyijwe	i- ta- teganya -ije -w
itateraga	i- ta- tera -aga
itaterwa	i- ta- tera -w
itatira	i- ta- tira
itatse	i- tatse
itatugiraho	i- ta- tu- gira -ho
itatuma	i- ta- tuma
itatumye	i- ta- tumye
itaturutse	i- ta- turutse
itatwaye	i- ta- twaye
itatwitayeho	i- ta- tu- itaye -ho
itatwubakiye	i- ta- tu- ubaka -iye
itava	i- tava
itavangiye	i- ta- vanga -iye
itavangura	i- ta- vangura
itavanguye	i- ta- vanguye
itavangwa	i- ta- vanga -w
itavuga	i- ta- vuga
itavuganye	i- ta- vuganye
itavuguruza	i- ta- vuguruza
itavugwa	i- ta- vuga -w
itavugwaho	i- ta- vuga -w -ho
itavugwamo	i- ta- vuga -w -mo
itavunanye	i- ta- vuna -an -ye
itavura	i- ta- vura
itavurwa	i- ta- vura -w
itavuye	i- tavuye
itavuyeho	i- tavuye -ho
itavuza	i- ta- vuza
itavuzwe	i- ta- vuza -w -e
itawufite	i- ta- wu- fite
itawuhanze	i- ta- wu- hanze
itawushyira	i- ta- wu- shyira
itawutinzeho	i- ta- wu- tinze -ho
itayakira	i- ta- ya- kira
itaye	itaye
itayegereye	i- ta- y- egereye
itayemeraga	i- ta- y- emera -aga
itayemerera	i- ta- y- emera -ir
itayibabariye	i- ta- yi- babariye
itayica	i- ta- yi- ca
itayifite	i- ta- yi- fite
itayiha	i- ta- yi- ha
itayihiriye	i- ta- yi- ha -ir -iye
itayiriho	i- ta- yi- ri -ho
itayitabiriye	i- ta- y- itaba -ir -iye
itayivura	i- ta- yi- vura
itaza	i- ta- za
itazaba	i- ta- za- ba
itazabageraho	i- ta- za- ba- gera -ho
itazabagwa	i- ta- za- bagwa
itazabarirwa	i- ta- za- ba- rira -w
itazabatererana	i- ta- za- ba- tererana
itazabona	i- ta- za- bona
itazaboneka	i- ta- za- boneka
itazaborohera	i- ta- za- ba- oroha -ir
itazabura	i- ta- za- bura
itazaburanishwa	i- ta- za- burana -ish -w
itazabwiriza	i- ta- za- bwiriza
itazabyifasha	i- ta- za- bi- ifasha
itazabyihanganira	i- ta- za- bi- ihangana -ir
itazaduha	i- ta- za- tu- ha
itazadutererana	i- ta- za- tu- tererana
itazafata	i- ta- za- fata
itazafatirwa	i- ta- za- fata -ir -w
itazagabanuka	i- ta- za- gabanuka
itazagaragaramo	i- ta- za- garagara -mo
itazagaruka	i- ta- za- garuka
itazagarukira	i- ta- za- garuka -ir
itazagera	i- ta- za- gera
itazagerwa	i- ta- za- gera -w
itazagira	i- ta- za- gira
itazagirira	i- ta- za- gira -ir
itazagurishwa	i- ta- za- gurishwa
itazagushyira	i- ta- za- ku- shyira
itazagutererana	i- ta- za- ku- tererana
itazagwa	i- ta- za- gwa
itazahagarara	i- ta- za- hagarara
itazahagarikwa	i- ta- za- hagarika -w
itazahanwa	i- ta- za- hana -w
itazahura	i- ta- za- hura
itazahwema	i- ta- za- hwema
itazajya	i- ta- za- jya
itazakina	i- ta- za- kina
itazakinwa	i- ta- za- kina -w
itazakomeza	i- ta- za- komeza
itazakomorerwa	i- ta- za- komora -ir -w
itazakongera	i- ta- za- ka- ongera
itazakora	i- ta- za- kora
itazakoreshwa	i- ta- za- koreshwa
itazamo	i- ta- za -mo
itazamubuza	i- ta- za- mu- buza
itazamunanira	i- ta- za- mu- nanira
itazamura	i- ta- zamura
itazamutera	i- ta- za- mu- tera
itazamutse	i- ta- zamutse
itazamuye	i- ta- zamuye
itazanduza	i- ta- za- n- tu- za
itazangiza	i- ta- za- angiza
itazanongera	i- ta- za- n- ongera
itazanye	i- ta- zanye
itazapfa	i- ta- za- pfa
itazashira	i- ta- za- shira
itazashoboka	i- ta- za- shoboka
itazashobora	i- ta- za- shobora
itazashyirwa	i- ta- za- shyira -w
itazasubira	i- ta- za- subira
itazatanga	i- ta- za- tanga
itazatera	i- ta- za- tera
itazatinda	i- ta- za- tinda
itazatuma	i- ta- za- tuma
itazatungurana	i- ta- za- tungura -an
itazava	i- ta- za- va
itazavangira	i- ta- za- vanga -ir
itazaza	i- ta- za- za
itazemera	i- ta- za- emera
itazemererwa	i- ta- za- emera -ir -w
itazera	i- ta- za -ir
itazi	i- ta- zi
itazibagirana	i- ta- zi- ba- gira -an
itazibagirwa	i- ta- za- ibagirwa
itazibona	i- ta- zi- bona
itazifashije	i- ta- zi- fashije
itazifite	i- ta- zi- fite
itazigamiwe	i- ta- zigama -iye -w
itazigamiye	i- ta- zigama -iye
itazigera	i- ta- zi- gera
itaziguye	i- ta- zi- guye
itazihanganira	i- ta- za- ihangana -ir
itazihinganirwa	i- ta- zi- ha- i- ngana -ir -w
itazima	i- ta- zima
itazimiye	i- ta- zimiye
itazira	i- ta- zira
itaziranye	i- ta- zira -an -ye
itazirengagiza	i- ta- za- irengagiza
itazishyura	i- ta- za- ishyura
itazishyurwa	i- ta- za- ishyura -w
itazitabira	i- ta- za- itaba -ir
itazitayeho	i- ta- za- itaye -ho
itazizwe	i- ta- ziza -w -e
itazongera	i- ta- za- ongera
itazongere	i- ta- za- ongera -e
itazongerwa	i- ta- za- ongera -w
ite	ita -e
itebuke	i- tebuka -e
itegamiye	i- ta- egamiye
iteganije	i- teganije
iteganijwe	itega -an -ije -w
iteganiye	itega -an -iye
iteganya	i- teganya
iteganye	i- teganya -e
iteganyije	i- teganya -ije
iteganyijwe	i- teganya -ije -w
iteganyirijwe	i- teganya -ir -ije -w
iteganywa	i- teganya -w
itegeka	i- tegeka
itegeke	i- tegeka -e
itegekwa	i- tegeka -w
itegera	itega -ir
itegeranye	i- ta- egeranya -e
itegereje	itegereje
itegerejwe	itega -ir -ije -w
itegerejweho	itega -ir -ije -w -ho
itegerwamo	itega -ir -w -mo
itegetse	i- tegetse
itegukana	i- ta- eguka -an
iteguranye	itegura -an -ye
itegure	itegura -e
itegurira	itegura -ir
itegurirwa	itegura -ir -w
iteguriye	itegura -iye
itegurwa	itegura -w
itegurwe	itegura -w -e
iteguye	iteguye
itejwe	ita -ije -w
itekanye	i- teka -an -ye
iteke	i- teka -e
itekera	i- teka -ir
itekereje	i- tekereje
itekereza	i- tekereza
itekerezwa	i- tekereza -w
itelefone	i- telefona -e
itema	itema
itemba	i- temba
itembana	i- temba -an
itembera	i- tembera
itembere	i- tembera -e
itemera	itema -ir
itemerera	i- ta- emera -ir
itemererwa	i- ta- emera -ir -w
itemerwaga	itema -ir -w -aga
itemeye	i- ta- emeye
itemwa	itema -w
itenge	i- ta- enga -e
itera	i- tera
iteramo	i- tera -mo
iterana	i- terana
iteranira	i- terana -ir
iteraniwemo	i- terana -iye -w -mo
iteraniye	i- terana -iye
iteraniyemo	i- terana -iye -mo
iteranya	i- teranya
iteranye	i- teranye
itere	i- tera -e
itereka	i- tereka
iterekana	i- ta- erekana
iterekanaga	i- ta- erekana -aga
iterekanwa	i- ta- erekana -w
iterekanye	i- ta- erekanye
iterekera	i- ta- erekera
iterekeza	i- ta- erekeza
iterera	i- terera
iteretseho	i- teretse -ho
iterura	i- terura
iterwa	i- tera -w
iterwamo	i- tera -w -mo
iterwe	i- tera -w -e
itesha	ita -ish
itetesha	i- tetesha
itetse	i- tetse
itetsemo	i- tetse -mo
iteye	i- teye
iteyeho	i- teye -ho
iteyemo	i- teye -mo
iteza	i- ta- eza
iteze	iteze
itezwa	i- ta- ezwa
itezwe	i- ta- ezwa -e
itezweho	i- ta- ezwa -e -ho
itiba	i- ta- iba
itibagiwe	i- ta- ibagiwe
itibanda	i- ta- ibanda
iticaye	i- ta- icaye
itifashije	i- ta- ifashije
itifatanyije	i- ta- i- fatanya -ije
itifitemo	i- ta- i- fite -mo
itifuje	i- ta- ifuje
itifuza	i- ta- ifuza
itigaragaza	i- ta- i- garagaza
itigenga	i- ta- igenga
itigeza	i- ta- i- geza
itigeze	i- ta- igeze
itigisha	i- ta- igisha
itigishije	i- tigishije
itigishijwe	i- ta- igishijwe
itihanganira	i- ta- ihangana -ir
itihanganirwa	i- ta- ihangana -ir -w
itihuta	i- ta- ihuta
itihutisha	i- ta- ihuta -ish
itihutishwa	i- ta- ihuta -ish -w
itikingiye	i- ta- i- kinga -iye
itikiriramo	i- ta- ikira -ir -mo
itimukanwa	i- ta- imuka -an -w
itinda	i- tinda
itindaho	i- tinda -ho
itinde	i- tinda -e
itindijwe	i- tinda -ije -w
itini	i- ta- i- ni
itinjira	i- ta- injira
itinjiriye	i- ta- injira -iye
itinya	i- tinya
itinze	i- tinze
itinzemo	i- tinze -mo
itiriwe	i- ta- iriwe
itishimira	i- ta- i- shimira
itishimiye	i- ta- ishima -iye
itishoboye	i- ta- i- shoboye
itishyura	i- ta- ishyura
itishyurwa	i- ta- ishyura -w
itishyurwaga	i- ta- ishyura -w -aga
itishyurwaho	i- ta- ishyura -w -ho
itishyuye	i- ta- ishyuye
itisi	i- ta- i- si
itisukirwa	i- ta- i- suka -ir -w
itita	i- ta- ita
ititaba	i- ta- itaba
ititabira	i- ta- itaba -ir
ititabiriwe	i- ta- itaba -ir -iye -w
ititabiriye	i- ta- itaba -ir -iye
ititabirwa	i- ta- itaba -ir -w
ititabwaho	i- ta- itaba -w -ho
ititanga	i- ta- itanga
ititaweho	i- ta- i- tawe -ho
ititaye	i- ta- itaye
ititeguye	i- ta- iteguye
ititwara	i- ta- i- twara
ititwaye	i- ta- i- twaye
itivuguruza	i- ta- i- vuguruza
itiyigeze	i- ta- i- igeze
itiyitaho	i- ta- i- ita -ho
itiyongera	i- ta- i- ongera
itiyubashye	i- ta- iyubashye
itiza	i- tiza
itizwa	i- tiza -w
itoboye	i- toboye
itogejwe	i- ta- oga -ije -w
itonde	itonda -e
itondere	itondera -e
itonesha	i- tona -ish
itoneshwa	i- tona -ish -w
itongera	i- tongera
itongerwa	i- tongera -w
itongeye	i- tongeye
itonora	i- tonora
itonorwa	i- tonora -w
itonoye	i- tonoye
itonwa	i- tona -w
itoragurwa	i- toragura -w
itoraguye	i- toraguye
itoranya	i- toranya
itoranywa	i- toranya -w
itorera	i- tora -ir
itorere	i- tora -ir -e
itorerwa	i- tora -ir -w
itorerwaho	i- tora -ir -w -ho
itorore	i- ta- orora -e
itorwa	i- torwa
itoshye	i- ta- oshya -e
itoteza	i- toteza
itotezwa	i- toteza -w
itowe	i- towe
itoye	i- toye
itoza	itoza
itozwa	itoza -w
itsemba	i- tsemba
itsembwa	i- tsemba -w
itsinde	i- tsinda -e
itsindira	i- tsinda -ir
itsindirwa	i- tsinda -ir -w
itsindisha	i- tsinda -ish
itsindiwe	i- tsinda -iye -w
itsindiye	i- tsinda -iye
itsindwa	i- tsindwa
itsizwe	i- tsizwe
itsura	i- tsura
itubahirije	i- ta- ubaha -ir -ije
itubahirijwe	i- ta- ubaha -ir -ije -w
itubaka	i- ta- ubaka
itubakiye	i- ta- ubaka -iye
itubakwa	i- ta- ubaka -w
itubonamo	i- tu- bona -mo
itubura	i- tubura
ituburirwamo	i- tu- burira -w -mo
itubwira	i- tu- bwira
itubyarira	i- tu- byara -ir
ituganisha	i- tu- gana -ish
itugenera	i- tu- genera
itugeraho	ituga -ir -ho
itugezaho	i- tu- geza -ho
itugira	ituga -ir
itugirira	i- tu- gira -ir
itugiriye	ituga -ir -iye
itugize	i- tu- gize
ituje	i- tuje
itujugunye	i- tu- jugunye
itujuje	i- ta- ujuje
itujyana	i- tu- jyana
itukura	i- tukura
itukuza	i- tu- kuza
ituma	ituma
itumaho	ituma -ho
itumanho	ituma -an -ho
itumanukana	i- tu- manuka -an
itumariye	i- tu- mara -iye
itumbagira	i- tu- n- baga -ir
itumburutse	i- tumburutse
itume	ituma -e
itumenyeshe	i- tu- menya -ish -e
itumijwe	ituma -ije -w
itumira	i- tumira
itumire	i- tumira -e
itumirwa	i- tumira -w
itumirwamo	i- tumira -w -mo
itumiwe	i- ta- umiwe
itumiwemo	i- ta- umiwe -mo
itumiza	i- tumiza
itumizwa	i- tumiza -w
itumuritseho	i- tu- muritse -ho
itumva	i- ta- umva
itumvikana	i- ta- umvikana
itumvikanye	i- ta- umvikanye
itumvwa	i- ta- umvwa
itumye	itumye
itunamaho	i- ta- unama -ho
itunamanaho	i- ta- unama -an -ho
itunaniye	i- tu- naniye
itundi	i- tu- n- ri
itunga	i- tunga
itungane	i- tungana -e
itunganije	i- tunganije
itunganwa	i- tungana -w
itunganya	i- tunganya
itunganye	i- tunganye
itunganyije	i- tunganya -ije
itunganyijwe	i- tunganya -ije -w
itunganywa	i- tunganya -w
itunganywamo	i- tunganya -w -mo
itunganywe	i- tunganya -w -e
itunge	i- tunga -e
itunguka	i- tunguka
itunguranye	i- tungura -an -ye
itungurwa	i- tungurwa
itunguwe	i- tu- n- guwe
itungwa	i- tunga -w
itunyagira	i- tu- nyagira
itunze	i- tunze
itunzwe	i- tu- n- za -w -e
itura	itura
iturage	i- tu- raga -e
ituragwa	i- tu- ragwa
ituramo	itura -mo
ituranye	i- turanye
iturema	i- tu- rema
iturenganuye	i- tu- renganuye
iturika	i- turika
iturinda	i- tu- rinda
ituritse	i- turitse
ituritswa	i- turitsa -w
ituriye	itura -iye
ituruka	i- turuka
iturukamo	i- turuka -mo
itururutse	i- ta- ururutse
iturutse	i- turutse
iturwa	i- turwa
iturwanaho	i- tu- rwana -ho
iturwemo	i- turwa -e -mo
ituwe	i- tuwe
ituweho	i- tuwe -ho
ituwemo	i- tuwe -mo
ituye	ituye
ituyemo	ituye -mo
ituza	i- tuza
ituzi	i- tu- zi
ituzuye	i- ta- uzuye
ituzuza	i- ta- uzuza
ituzwa	i- tuza -w
itwa	itwa
itwaka	i- tu- aka
itwara	i- twara
itwarayo	i- twara -yo
itware	i- twara -e
itwarika	i- tu- arika
itwarwa	i- twara -w
itwarwe	i- twara -w -e
itwaye	i- twaye
itwereke	i- tu- ereka -e
itweretse	i- tu- eretse
itwibuka	i- tu- ibuka
itwibutsa	i- tu- ibutsa
itwibutse	i- tu- ibutse
itwica	i- tu- ica
itwigisha	i- tu- igisha
itwihere	i- tu- i- hera -e
itwika	i- twika
itwikira	i- twikira
itwikwa	i- twika -w
itwishimire	i- tu- i- shimira -e
itwita	i- twita
itwitaho	i- twita -ho
itwumva	i- tu- umva
iva	i- va
ivaho	i- va -ho
ivamo	i- va -mo
ivana	i- vana
ivanaho	i- vana -ho
ivanamo	i- vana -mo
ivane	i- vana -e
ivanga	i- vanga
ivangiye	i- vanga -iye
ivangura	i- vangura
ivangurwa	i- vangura -w
ivangwa	i- vanga -w
ivangwamo	i- vanga -w -mo
ivanwa	i- vana -w
ivanwaho	i- vana -w -ho
ivanwamo	i- vana -w -mo
ivanwemo	i- vana -w -e -mo
ivanye	i- vanye
ivanyeho	i- vanye -ho
ivayo	i- va -yo
ive	i- va -e
ivemo	i- va -e -mo
iviramo	i- va -ir -mo
iviriye	i- va -ir -iye
iviriyemo	i- va -ir -iye -mo
ivoma	i- voma
ivomera	i- voma -ir
ivomwa	i- voma -w
ivomwaho	i- voma -w -ho
ivuga	i- vuga
